Recorded Time,MatchId,ComboId,Game Time,Sport,Team1,Team2,Bookmaker1,Bookmaker2,Odds1,Odds2,Draw Odds,Draw Odds Bookie,Total Implied Probability,Last Update1,Last Update2,Bet1,Bet2,Bet3
2023-11-21 09:23:35.161433,2023-11-21 17:45:00-08:00Pepperdine WavesUC Irvine Anteaters,2023-11-21 17:45:00-08:00Pepperdine WavesUC Irvine AnteatersWynnBETBetOnline.ag,2023-11-21 17:45:00-08:00,basketball_ncaab,Pepperdine Waves,UC Irvine Anteaters,WynnBET,BetOnline.ag,3.67,1.44,0,,0.966924008477142,2023-11-21T14:25:12Z,2023-11-21T14:26:18Z,11,28.0,
2023-11-21 09:23:35.161433,2023-11-21 17:45:00-08:00Pepperdine WavesUC Irvine Anteaters,2023-11-21 17:45:00-08:00Pepperdine WavesUC Irvine AnteatersBetRiversBetOnline.ag,2023-11-21 17:45:00-08:00,basketball_ncaab,Pepperdine Waves,UC Irvine Anteaters,BetRivers,BetOnline.ag,3.65,1.44,0,,0.9684170471841704,2023-11-21T14:26:00Z,2023-11-21T14:26:18Z,15,38.0,
2023-11-21 09:23:35.161433,2023-11-21 17:45:00-08:00Pepperdine WavesUC Irvine Anteaters,2023-11-21 17:45:00-08:00Pepperdine WavesUC Irvine AnteatersLowVig.agBetOnline.ag,2023-11-21 17:45:00-08:00,basketball_ncaab,Pepperdine Waves,UC Irvine Anteaters,LowVig.ag,BetOnline.ag,3.6,1.44,0,,0.9722222222222222,2023-11-21T14:25:19Z,2023-11-21T14:26:18Z,2,5.0,
2023-11-21 09:23:35.161433,2023-11-21 17:45:00-08:00Pepperdine WavesUC Irvine Anteaters,2023-11-21 17:45:00-08:00Pepperdine WavesUC Irvine AnteatersBetMGMBetOnline.ag,2023-11-21 17:45:00-08:00,basketball_ncaab,Pepperdine Waves,UC Irvine Anteaters,BetMGM,BetOnline.ag,3.6,1.44,0,,0.9722222222222222,2023-11-21T14:22:59Z,2023-11-21T14:26:18Z,2,5.0,
2023-11-21 09:23:35.161433,2023-11-21 17:45:00-08:00Pepperdine WavesUC Irvine Anteaters,2023-11-21 17:45:00-08:00Pepperdine WavesUC Irvine AnteatersBetUSBetOnline.ag,2023-11-21 17:45:00-08:00,basketball_ncaab,Pepperdine Waves,UC Irvine Anteaters,BetUS,BetOnline.ag,3.56,1.44,0,,0.9753433208489388,2023-11-21T14:25:21Z,2023-11-21T14:26:18Z,2.0,5,
2023-11-21 09:23:35.161433,2023-11-21 17:45:00-08:00Pepperdine WavesUC Irvine Anteaters,2023-11-21 17:45:00-08:00Pepperdine WavesUC Irvine AnteatersPointsBet (US)BetOnline.ag,2023-11-21 17:45:00-08:00,basketball_ncaab,Pepperdine Waves,UC Irvine Anteaters,PointsBet (US),BetOnline.ag,3.5,1.44,0,,0.9801587301587301,2023-11-21T14:25:21Z,2023-11-21T14:26:18Z,7,17.0,
2023-11-21 09:23:46.727810,2023-11-21 17:45:00-08:00Pepperdine WavesUC Irvine Anteaters,2023-11-21 17:45:00-08:00Pepperdine WavesUC Irvine AnteatersWynnBETBetOnline.ag,2023-11-21 17:45:00-08:00,basketball_ncaab,Pepperdine Waves,UC Irvine Anteaters,WynnBET,BetOnline.ag,3.67,1.44,0,,0.966924008477142,2023-11-21T14:25:12Z,2023-11-21T14:26:18Z,11,28.0,
2023-11-21 09:23:46.727810,2023-11-21 17:45:00-08:00Pepperdine WavesUC Irvine Anteaters,2023-11-21 17:45:00-08:00Pepperdine WavesUC Irvine AnteatersWynnBETBetUS,2023-11-21 17:45:00-08:00,basketball_ncaab,Pepperdine Waves,UC Irvine Anteaters,WynnBET,BetUS,3.67,1.44,0,,0.966924008477142,2023-11-21T14:25:12Z,2023-11-21T14:26:31Z,11,28.0,
2023-11-21 09:23:46.727810,2023-11-21 17:45:00-08:00Pepperdine WavesUC Irvine Anteaters,2023-11-21 17:45:00-08:00Pepperdine WavesUC Irvine AnteatersBetRiversBetOnline.ag,2023-11-21 17:45:00-08:00,basketball_ncaab,Pepperdine Waves,UC Irvine Anteaters,BetRivers,BetOnline.ag,3.65,1.44,0,,0.9684170471841704,2023-11-21T14:26:00Z,2023-11-21T14:26:18Z,15,38.0,
2023-11-21 09:23:46.727810,2023-11-21 17:45:00-08:00Pepperdine WavesUC Irvine Anteaters,2023-11-21 17:45:00-08:00Pepperdine WavesUC Irvine AnteatersBetRiversBetUS,2023-11-21 17:45:00-08:00,basketball_ncaab,Pepperdine Waves,UC Irvine Anteaters,BetRivers,BetUS,3.65,1.44,0,,0.9684170471841704,2023-11-21T14:26:00Z,2023-11-21T14:26:31Z,15,38.0,
