Recorded Time,MatchId,ComboId,Game Time,Sport,Team1,Team2,Bookmaker1,Bookmaker2,Odds1,Odds2,Draw Odds,Draw Odds Bookie,Total Implied Probability,Last Update1,Last Update2,Bet1,Bet2,Bet3
2023-11-20 09:00:02.756849,2023-11-20 12:00:00-08:00Kennesaw St OwlsNortheastern Huskies,2023-11-20 12:00:00-08:00Kennesaw St OwlsNortheastern HuskiesTwinSpiresPointsBet (US),2023-11-20 12:00:00-08:00,basketball_ncaab,Kennesaw St Owls,Northeastern Huskies,TwinSpires,PointsBet (US),2.2,2.0,0,,0.9545454545454546,2023-11-20T14:02:22Z,2023-11-20T14:02:06Z,10,11.0,
2023-11-20 09:00:02.756849,2023-11-20 12:00:00-08:00Kennesaw St OwlsNortheastern Huskies,2023-11-20 12:00:00-08:00Kennesaw St OwlsNortheastern HuskiesTwinSpiresBetMGM,2023-11-20 12:00:00-08:00,basketball_ncaab,Kennesaw St Owls,Northeastern Huskies,TwinSpires,BetMGM,2.2,2.0,0,,0.9545454545454546,2023-11-20T14:02:22Z,2023-11-20T14:02:41Z,10,11.0,
2023-11-20 09:00:14.203329,2023-11-20 12:00:00-08:00Kennesaw St OwlsNortheastern Huskies,2023-11-20 12:00:00-08:00Kennesaw St OwlsNortheastern HuskiesTwinSpiresPointsBet (US),2023-11-20 12:00:00-08:00,basketball_ncaab,Kennesaw St Owls,Northeastern Huskies,TwinSpires,PointsBet (US),2.2,2.0,0,,0.9545454545454546,2023-11-20T14:02:22Z,2023-11-20T14:02:06Z,10,11.0,
2023-11-20 09:00:14.203329,2023-11-20 12:00:00-08:00Kennesaw St OwlsNortheastern Huskies,2023-11-20 12:00:00-08:00Kennesaw St OwlsNortheastern HuskiesTwinSpiresBetMGM,2023-11-20 12:00:00-08:00,basketball_ncaab,Kennesaw St Owls,Northeastern Huskies,TwinSpires,BetMGM,2.2,2.0,0,,0.9545454545454546,2023-11-20T14:02:22Z,2023-11-20T14:02:41Z,10,11.0,
2023-11-20 09:00:25.687291,2023-11-20 12:00:00-08:00Kennesaw St OwlsNortheastern Huskies,2023-11-20 12:00:00-08:00Kennesaw St OwlsNortheastern HuskiesTwinSpiresPointsBet (US),2023-11-20 12:00:00-08:00,basketball_ncaab,Kennesaw St Owls,Northeastern Huskies,TwinSpires,PointsBet (US),2.2,2.0,0,,0.9545454545454546,2023-11-20T14:02:22Z,2023-11-20T14:02:06Z,10,11.0,
2023-11-20 09:00:25.687291,2023-11-20 12:00:00-08:00Kennesaw St OwlsNortheastern Huskies,2023-11-20 12:00:00-08:00Kennesaw St OwlsNortheastern HuskiesTwinSpiresBetMGM,2023-11-20 12:00:00-08:00,basketball_ncaab,Kennesaw St Owls,Northeastern Huskies,TwinSpires,BetMGM,2.2,2.0,0,,0.9545454545454546,2023-11-20T14:02:22Z,2023-11-20T14:02:41Z,10,11.0,
2023-11-20 09:00:25.687291,2023-11-20 12:00:00-08:00Kennesaw St OwlsNortheastern Huskies,2023-11-20 12:00:00-08:00Kennesaw St OwlsNortheastern HuskiesUnibetPointsBet (US),2023-11-20 12:00:00-08:00,basketball_ncaab,Kennesaw St Owls,Northeastern Huskies,Unibet,PointsBet (US),2.2,2.0,0,,0.9545454545454546,2023-11-20T14:03:12Z,2023-11-20T14:02:06Z,10,11.0,
2023-11-20 09:00:25.687291,2023-11-20 12:00:00-08:00Kennesaw St OwlsNortheastern Huskies,2023-11-20 12:00:00-08:00Kennesaw St OwlsNortheastern HuskiesUnibetBetMGM,2023-11-20 12:00:00-08:00,basketball_ncaab,Kennesaw St Owls,Northeastern Huskies,Unibet,BetMGM,2.2,2.0,0,,0.9545454545454546,2023-11-20T14:03:12Z,2023-11-20T14:02:41Z,10,11.0,
2023-11-20 09:00:37.140744,2023-11-20 12:00:00-08:00Kennesaw St OwlsNortheastern Huskies,2023-11-20 12:00:00-08:00Kennesaw St OwlsNortheastern HuskiesTwinSpiresPointsBet (US),2023-11-20 12:00:00-08:00,basketball_ncaab,Kennesaw St Owls,Northeastern Huskies,TwinSpires,PointsBet (US),2.2,2.0,0,,0.9545454545454546,2023-11-20T14:02:22Z,2023-11-20T14:03:22Z,10,11.0,
2023-11-20 09:00:37.140744,2023-11-20 12:00:00-08:00Kennesaw St OwlsNortheastern Huskies,2023-11-20 12:00:00-08:00Kennesaw St OwlsNortheastern HuskiesTwinSpiresBetMGM,2023-11-20 12:00:00-08:00,basketball_ncaab,Kennesaw St Owls,Northeastern Huskies,TwinSpires,BetMGM,2.2,2.0,0,,0.9545454545454546,2023-11-20T14:02:22Z,2023-11-20T14:02:41Z,10,11.0,
